GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
,4.99,Fair,,59.67,69.85,6.82,9.08,5.85,61.93,2.97,1.75,0.439,0.115,0.214,600,0.3,Blue
Emerald,1.03,Premium,SI1,56.67,53.72,4.27,4.88,3.91,78.21,2.55,,0.332,0.308,0.222,500,0.55,LightYellow
Sapphire,0.9,Ideal,SI2,56.67,66.44,7.27,7.28,5.39,67.57,1.25,-1.47,0.199,0.443,0.199,700,0.32,Green
Amethyst,4.59,Very Good,VS1,61.34,52.48,4.39,3.02,4.55,64.76,1.31,0.91,0.374,0.505,0.323,550,0.43,Violet
Amethyst,4.43,Ideal,VS1,63.19,53.59,6.51,6.3,6.08,62.99,4.1,-1.86,0.249,0.234,0.375,700,0.36,LightYellow
Emerald,,Good,SI1,61.62,55.91,5.35,5.79,4.05,74.95,1.1,-1.87,0.197,0.102,0.104,450,0.49,Red
Ruby,3.81,Very Good,SI1,56.01,67.46,4.28,3.84,3.34,74.47,4.68,3.01,0.485,0.337,0.264,500,0.65,White
Sapphire,3.35,Premium,VS2,,58.88,7.25,9.24,3.21,61.89,2.48,-4.66,0.155,0.119,0.527,700,0.55,Blue
Ruby,3.89,Ideal,SI2,64.23,57.92,3.58,3.76,2.86,79.19,1.57,-4.74,0.489,0.569,0.301,500,0.4,Green
Diamond,2.57,Ideal,VS2,57.81,59.81,9.59,4.86,3.6,61.45,4.44,,0.215,0.202,0.361,600,0.55,FaintYellow
Amethyst,4.96,Very Good,VVS2,60.53,62.62,8.45,8.14,,69.94,2.42,1.9,0.1,0.438,0.33,700,0.54,LightYellow
Amethyst,0.41,Premium,VS1,59.85,58.47,9.41,4.27,2.61,72.91,3.28,-1.94,0.182,0.358,0.173,600,0.51,LightYellow
Ruby,1.32,Premium,VS2,61.68,69.25,3.3,3.54,5.31,77.76,2.97,1.29,0.525,0.399,0.151,500,0.41,FaintYellow
Amethyst,2.1,Ideal,VVS2,64.78,52.71,3.01,9.79,6.22,65.39,3.39,-2.14,0.36,0.575,0.214,400,0.47,Blue
Amethyst,2.36,Ideal,VVS1,64.86,59.51,5.51,5.05,3.85,65.35,1.71,-4.69,0.484,0.508,0.43,450,0.47,White
Amethyst,4.62,Fair,VVS2,60.09,58.31,7.32,3.42,6.16,75.63,2.58,2.27,0.251,0.402,0.536,450,0.39,FaintYellow
Amethyst,2.89,Very Good,SI2,55.92,63.85,4.71,3.99,3.9,68.22,2.18,0.43,0.561,0.404,0.231,650,0.58,LightYellow
Topaz,0.42,Premium,VS2,,69.26,6.85,4.56,2.99,64.11,4.11,1.44,0.55,0.259,0.266,700,0.62,White
Topaz,2.16,Good,SI2,59.14,55.77,7.24,9.71,5.87,60.43,,-3.23,0.261,0.107,0.277,700,0.41,Violet
Emerald,2.2,Very Good,VVS2,60.35,69.11,4.06,3.11,6.06,74.92,4.98,1.17,0.526,0.207,0.472,450,0.66,White
Diamond,4.83,Fair,SI2,64.6,66.55,8.38,8.55,4.87,60.3,4.99,3.09,0.223,0.263,0.297,700,0.62,White
Topaz,3.08,Very Good,SI2,57.62,,9.55,8.47,6.15,72.75,1.39,-3.6,0.589,0.264,0.36,450,0.64,Green
Topaz,3.25,Ideal,VVS1,60.37,51.46,7.48,6.5,3.57,68.58,2.86,-2.17,0.358,0.312,0.441,450,0.61,Red
Diamond,3.62,Very Good,VS2,57.91,68.81,9.63,9.53,3.43,72.69,3.99,2.92,0.376,0.215,0.553,650,0.68,LightYellow
Emerald,3.9,Very Good,VVS2,64.19,66.78,4.72,3.09,5.85,75.2,3.68,1.44,0.109,0.485,0.148,500,0.36,LightYellow
Amethyst,3.25,Very Good,VS2,64.9,,3.26,6.47,3.26,72.95,2.94,-3.12,0.475,0.194,0.569,400,0.34,White
Ruby,1.34,Good,SI1,63.71,52.56,4.73,4.77,5.9,69.31,1.4,,0.223,0.501,0.352,500,0.65,Red
,4.4,Fair,SI1,58.39,58.4,7.54,8.33,3.07,78.15,2.88,4.05,0.186,,0.152,500,0.49,Green
Sapphire,3.71,Very Good,VVS2,57.78,66.8,7.18,4.21,5.13,60.07,4.83,-1.22,0.288,0.33,0.361,500,0.42,LightYellow
Emerald,3.76,Very Good,IF,59.31,58.75,4.87,9.13,,60.95,2.75,-4.07,0.264,0.268,0.33,650,0.67,LightYellow
Amethyst,4.98,Good,VS2,62.48,58.73,5.86,5.84,5.91,69.73,1.11,1.63,0.17,0.161,0.191,400,0.46,
Amethyst,4.05,Premium,VS2,55.09,55.4,5.57,3.95,6.34,64.94,2.6,-0.98,0.496,0.502,0.254,700,0.35,Violet
Sapphire,4.18,Very Good,SI1,64.95,51.02,9.65,3.24,3.35,68.61,2.87,2.31,0.461,0.349,0.269,650,,Green
Diamond,4.77,Very Good,SI1,63.83,60.26,5.2,7.83,4.45,65.74,3.96,-3.87,0.244,0.205,0.319,400,0.51,FaintYellow
Amethyst,0.93,Premium,SI2,55.24,65.49,4.35,9.5,6.3,64.62,1.91,-1.93,0.349,0.585,0.51,400,0.31,LightYellow
Amethyst,,Very Good,VS2,58.82,52.92,6.96,9.79,2.05,,3.33,-1.07,0.245,0.187,0.312,700,0.68,White
Ruby,2.99,Very Good,VS2,61.88,67.88,3.87,9.12,4.77,64.33,1.69,0.75,0.146,0.283,0.521,650,0.34,White
Diamond,1.78,Very Good,SI1,57.41,61.11,6.56,5.73,2.67,61.83,3.46,-3.15,0.3,0.252,0.307,400,0.45,Blue
Diamond,4.23,Fair,VVS2,56.43,66.25,7.81,9.34,3.98,64.51,3.09,-1.78,0.285,0.188,0.228,550,0.43,FaintYellow
Emerald,3.86,Ideal,VS1,61.29,63.34,9.6,7.51,2.38,68.54,4.44,2.66,0.545,0.396,0.296,700,0.46,LightYellow
Amethyst,3.66,Fair,SI2,64.04,52.7,9.25,3.44,3.51,64.47,2.85,-3.11,0.428,0.108,0.118,500,0.6,LightYellow
Ruby,4.99,Premium,VVS2,64.56,68.13,8.89,4.2,5.11,61.95,2.14,-1.2,0.488,0.514,0.364,400,0.51,Red
Emerald,1.45,Fair,VVS1,55.1,64.36,5.76,5.7,5.65,65.37,3.12,-1.08,0.437,0.451,0.106,450,0.33,Red
Amethyst,3.73,Fair,IF,63.74,,9.26,5.14,4.53,78.13,3.24,,0.238,0.22,0.506,600,0.34,FaintYellow
Emerald,2.85,Good,VVS2,60.61,61.6,8.02,5.35,,75.05,1.37,3.73,0.508,0.515,0.373,650,0.42,Violet
Ruby,1.7,Premium,VVS2,57.38,59.6,6.09,8.14,3.54,64.67,3.28,0.15,0.441,0.548,0.491,550,0.38,White
Emerald,0.97,Premium,VS2,61.17,67.18,6.95,3.41,6.08,72.14,3.78,-1.14,0.151,0.467,0.434,600,0.49,Violet
Topaz,4.5,Premium,SI2,64.96,52.46,6.05,,2.89,77.12,4.54,2.78,0.326,0.125,0.308,700,0.69,
Ruby,3.06,Fair,VVS1,57.76,61.82,4.38,5.36,5.08,79.42,1.85,-4.63,0.117,0.331,0.175,600,0.57,Violet
Topaz,4.16,Premium,SI2,57.77,56.21,6.16,9.18,2.63,61.49,2.83,4.98,0.278,0.144,0.294,500,0.66,FaintYellow
Sapphire,2.82,Good,VS2,61.99,54.91,8.65,3.4,6.05,64.08,1.23,4.61,0.412,0.109,0.546,550,0.51,Violet
Emerald,1.26,Very Good,SI1,55.43,50.45,4.87,9.8,3.28,78.87,1.66,-4.12,0.36,0.213,0.112,700,0.56,Red
Amethyst,1.82,Fair,SI2,63.21,56.64,7.48,3.57,3.67,77.7,4.7,3.88,0.337,0.557,0.535,650,0.41,LightYellow
Sapphire,2.03,Very Good,VS2,,57.92,6.87,6.04,2.82,65.98,4.75,-1.89,0.201,0.289,0.484,550,0.36,FaintYellow
Sapphire,4.87,Very Good,VS1,63.41,58.96,9.44,9,6.2,63.95,1.17,-3.95,0.155,0.511,0.256,450,0.34,Green
Diamond,0.23,Fair,IF,57.31,64.69,8.22,5.25,,76.31,3.14,0.7,0.303,0.541,0.35,600,0.45,LightYellow
Ruby,4.93,Fair,VS1,63.47,58.07,,8.95,4.13,62.1,1.55,3.69,0.313,0.26,0.253,500,0.4,Blue
Diamond,4.91,Premium,VS2,59.49,53.9,6.93,9.74,2.14,72.4,3.82,-3.4,0.464,,,500,0.35,Violet
Sapphire,4.98,,IF,56.33,57.96,9.38,3.86,6.07,78.15,3.49,4.7,0.161,0.405,0.24,700,0.67,Violet
Ruby,2.49,Fair,VVS2,,51.39,4.59,6.34,6.33,63.6,3.07,-2.09,0.27,0.15,0.377,450,0.35,LightYellow
Sapphire,4.83,Very Good,SI2,62.05,69.44,6.32,4.62,2.31,62.5,3.08,0.7,0.275,0.472,0.397,650,0.32,Blue
Diamond,2.1,Fair,VVS1,56.68,51.32,4.55,8.37,4.74,72.87,3.46,1.65,0.31,0.313,0.543,600,0.33,White
Amethyst,0.33,Good,VS1,57.47,54.04,5.93,3.76,6.3,72.28,2.76,-1.49,0.163,0.404,0.536,500,0.3,LightYellow
Diamond,1.28,Ideal,VVS1,57.69,58.56,3.41,8.42,5.13,61.35,3.93,3.78,0.432,0.343,0.383,400,0.39,FaintYellow
Emerald,4.74,Very Good,VS2,64.63,68.67,9.13,7.73,4.32,67.22,3.85,4.92,,,0.593,550,0.4,LightYellow
Topaz,0.27,Ideal,IF,63.86,53.57,9.85,7.42,3.54,78.54,2.35,,0.371,0.45,0.47,600,0.56,Green
Ruby,2.82,Ideal,SI1,58.46,58,6.97,6.04,5.33,64.6,3.88,,0.145,0.21,0.278,650,0.35,Blue
Emerald,0.56,Good,SI2,59.67,69.79,6.88,6.51,6.44,70.58,2.37,3.85,0.447,0.495,0.138,700,0.38,LightYellow
Topaz,1.57,Fair,SI2,57.85,62.04,9.69,3.7,4.88,67.05,3.35,0.26,0.425,0.441,0.137,700,0.66,FaintYellow
Ruby,0.62,Ideal,VVS2,62.43,62.29,5.75,4.89,4.27,78.09,1.85,2.4,0.316,0.36,0.334,500,0.31,Blue
Diamond,4.33,Premium,IF,56.61,69.48,7.35,9.39,2.76,70.41,2.26,-1.42,0.332,0.577,0.131,450,0.32,Green
Ruby,3.04,Fair,SI1,58.39,60.12,8.86,6.09,5.88,69.01,1.87,-3.87,0.239,0.338,0.212,700,0.46,Blue
Sapphire,4.53,Very Good,VVS1,61.06,50.05,6.54,5.82,3.73,77.83,4.96,3.59,0.249,,0.182,700,0.65,Red
Sapphire,3.5,Fair,VVS1,,50.62,4.55,3.33,5.46,72.88,3.45,-0.17,0.571,0.482,0.353,600,0.69,Green
Ruby,4.86,Good,VVS2,61.36,63.63,8.69,9.19,3.57,67.14,3.7,-3.91,0.106,0.513,0.494,650,0.36,Green
Ruby,2.65,Good,SI1,64.4,54.23,4.9,8.27,2.54,79.86,3.55,-3.13,0.376,0.422,0.153,700,0.55,White
Amethyst,3.27,Very Good,SI1,,59.57,8.91,3.64,5.01,78.32,1.11,2.42,0.255,0.479,0.217,500,0.3,White
Topaz,2.97,Very Good,VVS2,,61.03,9.61,4.05,4.46,65.29,3.87,3.76,0.277,0.492,0.175,450,0.68,LightYellow
Topaz,2.52,Very Good,IF,57.79,63.35,6.82,3.87,2.68,60.68,4.12,-2.23,0.364,0.527,0.24,650,0.54,LightYellow
Amethyst,4.26,Good,VS1,61.83,51.67,3.35,7.57,5.73,62.42,2.36,-2.2,0.298,0.453,0.503,550,0.4,Violet
Ruby,3.29,Fair,IF,56.93,65.2,9.69,4.11,3.36,63.09,3.35,-3.98,0.175,0.392,0.555,700,0.5,LightYellow
Topaz,4.05,Ideal,SI2,58.33,68.4,8.82,,3.99,74.7,1.11,-0.81,0.212,0.245,0.412,600,0.55,Violet
Topaz,3.97,Ideal,VVS1,62.58,55.11,3.82,7.02,4.24,67.52,1.85,3.91,0.116,0.248,0.533,550,0.3,Violet
Sapphire,1.12,Premium,IF,63.51,57.61,7.41,9.09,3.11,66.78,1.77,-3.36,0.289,0.196,0.313,700,0.33,White
Emerald,3.32,Good,VS2,59.17,64.88,5.21,8.11,4.26,71.18,2.02,2.79,0.548,0.248,0.271,650,0.69,White
Amethyst,1.16,Very Good,IF,60.23,54.97,5.31,3.17,2.3,62.71,2.53,-2.81,0.346,0.498,0.316,500,0.61,Red
Topaz,3,Fair,SI2,58.86,60.84,7.06,5.95,2.84,65.52,1.87,-2.97,0.374,0.452,0.16,450,0.51,Violet
Amethyst,3.45,Good,IF,59.79,63.2,7.98,5.53,3.24,69.7,1.91,-4.85,0.322,0.241,0.59,650,0.39,Violet
Sapphire,4.99,Premium,SI1,60.12,67.59,3.08,9.67,3.62,69.37,,1.7,0.544,0.259,0.554,700,0.33,Blue
Amethyst,0.35,Ideal,SI2,61.92,56.91,4.07,5.37,3.12,72.23,2.01,-1.13,0.315,0.59,0.204,650,0.62,FaintYellow
Amethyst,0.64,Fair,SI2,62.51,59.85,9.32,7.81,4.12,66.2,3.27,4.74,0.477,0.261,0.527,400,0.65,
Topaz,0.57,Ideal,VS2,64.75,53.69,6.46,7.13,4.97,67.65,3.57,-4.48,0.476,0.203,0.239,550,0.4,Violet
Amethyst,2.11,Fair,VVS1,59.38,56.15,6.44,8.16,3.55,61.27,2.24,-4.34,0.349,0.295,0.297,650,0.36,Blue
Emerald,4.14,Very Good,VVS2,55.83,51.9,8.88,3.43,2.17,72.98,1.27,-2.16,0.427,0.459,0.277,500,0.69,Green
Diamond,4.25,Fair,IF,61.88,53.95,3.91,9.52,4.85,69.99,2.89,0.38,0.318,0.275,0.44,450,0.48,Violet
Emerald,3.74,Very Good,VS1,59.98,56.92,8,9.95,5.96,60.84,4.96,2.48,0.475,0.516,0.16,700,0.61,White
Diamond,4.51,,SI1,63.41,58.49,6.54,6.88,2.56,70.1,2.14,-1.97,0.531,0.305,0.419,700,0.47,Green
Ruby,1.75,Ideal,SI1,56.47,,8.19,4.15,2.83,65.22,1.02,-1.66,0.545,0.596,0.481,650,0.41,LightYellow
Sapphire,0.62,Fair,VVS2,61.45,59.17,7.75,,2.13,62.93,4.19,2.19,0.149,0.175,0.343,650,0.49,FaintYellow
Emerald,0.48,Fair,VS1,59.59,50.98,7.67,7.53,2.98,60.1,2.01,-1.3,0.267,0.106,0.404,400,0.48,LightYellow
Ruby,4.29,Premium,IF,59.19,65.11,8.99,7.37,3.33,79.63,4.4,1.53,0.247,0.281,0.443,550,0.51,Red
Topaz,3.71,Ideal,VS1,60.65,60.66,6.86,9.19,4.05,78.96,2.02,-1.86,,0.226,0.518,550,0.66,Red
Amethyst,3.55,Good,SI1,61.84,68.79,5.85,8.12,5.15,76.5,4.49,4.92,0.421,0.295,0.594,600,,FaintYellow
Topaz,1.83,Very Good,VVS2,63.51,62.7,4.39,9.44,3.95,64.32,4.66,4.17,0.3,0.163,0.56,700,,Green
Sapphire,2.02,Good,VS1,57.35,60.68,5.41,9.7,3.64,77.38,3.32,0.87,0.278,0.456,0.209,700,0.32,LightYellow
Emerald,4.8,Premium,VS1,57.93,55.89,9.09,5.41,5.08,77.94,4.34,4.61,0.106,0.531,0.157,500,0.54,White
Emerald,0.51,Good,VVS2,60.49,54.73,5.36,4.39,4.9,61.63,4.47,0.62,0.543,0.421,0.525,550,0.54,FaintYellow
Emerald,3.91,,SI2,58.47,54.6,9.9,5.7,3.91,70.43,2.4,3.51,0.498,0.366,0.458,400,0.67,Blue
Diamond,1.69,Ideal,VVS2,60.68,58.14,7.26,9.77,3.52,62.14,3.63,4.53,0.327,0.473,0.175,700,0.64,Blue
Emerald,0.39,Premium,VVS2,57,53.43,8.7,4.34,3.71,70.66,3.42,4.76,0.121,0.112,0.195,600,0.39,FaintYellow
Diamond,3.76,Fair,SI1,58.08,66.88,6.45,7.14,3.82,76.89,2.71,4.72,0.546,0.481,0.269,700,0.46,Green
Emerald,1.79,Fair,VVS2,58.25,66.1,7.58,3.59,2.4,72.53,4.03,3.73,0.246,0.365,0.362,650,0.36,Violet
Diamond,3.67,Ideal,VS2,64.92,64.58,9.93,8.83,2.82,61.26,2.89,-1.05,0.279,0.398,0.593,500,0.58,FaintYellow
Sapphire,3.6,Good,IF,63.54,50.98,6.5,7.68,4.95,60.2,2.07,4.92,0.546,0.563,0.262,550,0.53,Blue
Topaz,2.77,Fair,SI1,63.38,51.44,4.84,6.65,6.19,61.89,2.11,2.8,0.383,0.497,0.189,450,0.65,Green
Ruby,3.93,Premium,SI2,60.14,62.73,7.55,7.41,2.38,78.17,1,3.51,0.336,0.558,0.23,,0.57,Blue
Diamond,2.99,Very Good,VVS2,59.67,64.98,9.44,3.82,2.54,79.71,1.3,2.99,0.324,0.381,0.445,450,0.34,FaintYellow
Sapphire,1.58,Good,VVS1,55.7,50.53,3.12,9.03,2.44,69.67,1.56,0.73,0.367,0.345,0.269,550,0.33,Green
Emerald,3.72,Very Good,VS1,56.97,55.81,9.95,5.38,3.15,67.14,3.84,0.41,0.166,0.234,0.559,600,0.32,FaintYellow
Topaz,3.03,Good,VVS2,63.95,52.73,6.81,4.18,5.57,66.89,1.47,-0.86,0.233,0.434,0.333,400,0.39,White
Topaz,0.26,Premium,VVS2,60.26,54.63,8.6,3.1,5.76,68.5,1.88,-3.75,0.11,0.249,0.177,400,0.69,FaintYellow
Topaz,4.53,Very Good,IF,64.87,60.37,3.83,3.42,6.01,67.91,2.9,1.29,0.559,0.18,0.141,550,0.39,White
Sapphire,2.82,Premium,VVS2,60.92,52.18,5.04,7.7,5.53,75.34,2.34,-1.79,,0.431,0.355,400,0.44,Violet
Diamond,4.37,Very Good,SI1,58.77,54.6,9.84,,4.06,70.56,4.13,-3.08,,0.37,0.529,500,0.52,Red
Amethyst,4.44,Good,VS2,57.74,61.3,5.02,4.04,4.56,,1.41,-2.38,0.302,0.263,0.395,400,0.44,White
Ruby,2.34,Premium,VVS1,64.18,60.16,5.89,7.24,5.08,61.76,4.93,-1.13,0.394,0.357,0.385,650,0.36,Blue
Amethyst,2.64,Good,VVS1,58.71,67.15,4.96,6.38,3.11,62.22,4.3,-4.92,0.319,0.197,0.418,550,0.58,LightYellow
Sapphire,2.2,Good,SI2,56.46,53.01,6.28,9.56,4.45,67.78,2.99,-1.51,0.532,0.381,0.574,450,0.63,FaintYellow
Ruby,2.36,Very Good,VVS2,57.78,57.4,4.11,7.66,4.32,65.38,1.51,1.37,0.388,0.44,0.522,400,0.58,Green
Sapphire,4.5,Very Good,IF,61.46,,6.56,6.64,5.45,67.4,1.39,-3,0.49,0.336,0.454,650,0.55,Violet
Ruby,3.98,Premium,SI1,56.33,65.92,5.09,4.99,3.05,61.87,1.64,-2.87,0.171,0.179,0.546,400,0.37,LightYellow
Sapphire,0.81,Fair,SI1,55.92,61.95,8.71,6.23,6.14,78.14,1.72,-3.43,0.563,0.47,0.409,700,0.57,White
Sapphire,3.13,Ideal,VVS2,59.58,65.38,5.73,,3.74,76.56,4.02,-2.61,0.157,,0.371,550,0.42,White
Topaz,4.98,Very Good,VS1,55.84,58.97,8.55,7.75,4.22,71.19,4.89,,0.476,0.335,0.11,450,0.59,Green
Sapphire,3.06,Good,SI1,58.93,68.21,7.49,7.16,3.51,71.42,4.02,4.78,0.316,0.589,0.339,500,0.7,
Emerald,3.97,Ideal,SI1,58.23,61.99,9.41,5.07,2.52,70.08,4.07,-4.31,0.436,0.131,0.121,550,0.45,FaintYellow
Sapphire,3.89,Premium,SI1,58.91,63.91,8.67,3.08,2.8,64.57,4.79,2.28,0.543,0.594,0.493,500,0.61,Blue
Emerald,1.88,Ideal,VVS1,59.88,63.04,9.31,9.88,6.46,73.09,1.39,-2.3,0.349,0.422,0.11,550,0.5,White
Diamond,1.98,Ideal,SI1,56.85,63.46,6.68,3.37,3.57,61.83,1.4,-0.03,,0.576,0.12,600,0.44,Violet
Amethyst,3.68,Fair,VS1,59.42,62.82,9.39,6.83,2.52,71.69,4.58,-1.68,0.22,0.191,0.118,650,0.48,Red
Topaz,2.6,Fair,VS2,58.62,51.48,4.08,8.96,4,68.8,3.21,4.71,0.543,0.339,0.303,650,0.69,Green
Amethyst,2.94,Ideal,VVS1,62.95,62.08,3.59,7.35,2.62,61.16,1.99,-1.41,0.308,0.589,0.414,450,0.56,LightYellow
Sapphire,3.62,Fair,VVS1,61.95,65.67,6.68,7.11,4.77,68.65,1.8,-0.52,0.343,0.295,0.556,650,0.47,FaintYellow
Sapphire,3.93,Fair,VS2,63.73,50.01,8.78,8.01,2.11,71.83,3.43,4.89,0.315,0.441,0.328,450,0.67,White
Ruby,1.5,Ideal,VS1,61.69,67.83,4.49,5.16,4.52,61.59,3.55,-4.01,0.19,0.195,0.509,450,0.47,LightYellow
Sapphire,0.9,Very Good,VVS2,56.21,69.04,9.78,5.73,5.09,65.97,4.03,-2.04,0.443,0.528,0.36,400,0.42,FaintYellow
Topaz,1.6,Fair,SI2,60.07,52.56,4.3,3.59,2.36,64.05,3.58,-1.15,0.369,0.232,0.199,400,0.62,FaintYellow
Emerald,2.64,Ideal,IF,62.42,60.7,7.96,3.03,2.67,60.48,3.88,-0.5,0.504,0.177,0.546,650,0.47,Green
Emerald,1.84,Very Good,VS1,63.42,52.21,9.41,4.85,5.49,61.64,3.86,4.57,0.558,0.375,0.484,400,0.53,Violet
Ruby,2.93,Fair,VS2,56.81,55.66,9.76,8.7,3.89,63.78,1.21,-1.18,0.226,0.224,0.407,600,0.39,Violet
Sapphire,0.46,Ideal,SI2,57.24,62.43,7.63,,2.42,72,3.85,-2.18,0.461,0.483,0.553,700,0.42,Violet
,2.65,Fair,SI1,63.62,56.06,7.02,3.98,5.88,78.86,1.64,-1.86,0.235,0.519,0.48,,0.56,White
Diamond,1.97,Very Good,SI1,59.85,57.31,3.64,5.99,5.32,73.14,3,-3.74,0.45,0.36,0.178,450,0.5,Green
Diamond,2.77,Ideal,VS2,59.52,64.92,3.14,3.14,2.84,,2.01,-3.59,0.264,0.111,0.167,500,0.49,Blue
Topaz,2.23,Very Good,SI1,59.94,61.5,9.9,8.62,3.56,79.36,3.72,-2.58,0.512,0.295,0.303,600,0.5,FaintYellow
Diamond,1.56,Good,VS2,56.73,60.36,4.92,6.23,4.56,70.41,2.21,-3.28,0.501,0.115,0.19,450,0.34,Blue
Topaz,4.54,Premium,SI2,61.28,56.48,3.51,4.94,2.1,64.44,4.65,-1.62,,0.55,0.286,450,0.36,Violet
Topaz,1.09,Good,VVS1,63.08,64.08,6.77,8.38,4.2,78.26,1.19,-3.6,0.562,0.237,0.188,550,0.68,White
Emerald,3.47,Fair,VVS2,63.37,58.48,5.19,9.79,3.53,70.71,2.89,0.66,0.317,0.587,0.556,650,0.64,FaintYellow
Topaz,4.64,Very Good,VVS1,55.3,67.98,5.5,5.82,6.17,63.04,2.71,4.51,,0.249,0.253,400,0.67,FaintYellow
Sapphire,2.79,Ideal,VVS1,62.15,62.03,5.48,8.36,3.02,67.57,1.77,-0.02,0.231,0.318,0.532,600,0.62,Green
Ruby,4.41,Very Good,VVS1,55.91,60.77,4.74,5.25,3.79,66.68,1.28,-0.53,0.275,0.104,0.265,400,0.51,Red
Emerald,0.8,Fair,VS2,64.67,66.06,9.77,8.31,2.73,67.2,1.9,-3.14,0.339,0.58,0.128,450,0.53,White
Emerald,2.57,Ideal,VS1,59.82,59.71,4.86,9.76,2.58,61.99,1.52,-2.78,0.18,0.349,0.472,500,0.42,FaintYellow
Diamond,2.39,Good,SI2,62.75,55.59,6.9,7.55,3.26,69.23,1.74,1.22,0.389,0.163,0.422,550,0.63,Blue
Amethyst,0.24,Very Good,IF,61.22,53.1,4.67,4.67,5.67,70.52,4.44,-3.82,0.382,0.513,0.522,400,0.36,FaintYellow
Amethyst,2.33,Premium,IF,64.52,61.24,8.33,7.83,3.7,77.53,3.9,-3.23,0.356,0.24,0.538,550,0.48,LightYellow
Ruby,1.97,Fair,VVS2,64.74,58.5,4.6,8.91,2.84,61.29,1.57,0.85,0.251,0.105,0.493,650,0.47,Green
Diamond,3.42,Fair,VVS2,57.79,57.95,7.3,5.83,2.08,76.22,4.61,2.35,0.126,0.437,0.523,450,0.48,Green
Emerald,4.7,Very Good,VS2,59.83,56.99,8.84,7.35,4.47,72.57,4.55,4.42,0.523,0.229,0.283,600,0.48,White
Sapphire,,Good,IF,60.04,63.43,4.9,4.77,4.23,79.33,2.01,-3.23,0.327,,0.255,700,0.63,Red
Emerald,1.77,Good,VS1,56.78,60.38,8.62,6.18,2.95,76.57,1.19,2.18,0.454,0.187,0.315,450,0.39,Green
Sapphire,2.33,Premium,VS2,64.04,60.74,3.65,4.16,3.63,69.02,3.77,-2.57,0.138,0.24,0.55,650,0.69,
Amethyst,2.38,Premium,VVS2,58.5,56.16,3.81,8.85,3.3,75.59,3.33,-3.4,0.174,0.384,0.485,650,0.51,Blue
Topaz,3.92,Very Good,VS2,55.87,62.27,5.8,3.68,5.2,78.45,2.5,3.21,0.486,0.568,0.407,650,0.58,Green
Sapphire,2.33,Ideal,VVS2,56.55,58.07,5.85,3.39,3.65,69.92,1.19,-2.02,0.436,0.271,0.27,600,0.55,Red
Sapphire,0.33,Good,IF,60.13,65.39,6.62,6.74,4.11,65.32,1.52,-1.68,0.451,0.335,0.477,650,0.63,LightYellow
Ruby,3.61,Ideal,SI2,63.82,60.59,3.17,7.08,6.45,68.09,3.4,-1.04,0.112,0.148,0.185,450,0.31,White
Ruby,4.45,Ideal,VS2,61.28,55.79,3.82,9.43,6.03,68.46,3.69,-4.54,0.291,0.149,0.395,500,0.32,FaintYellow
Amethyst,2.67,Very Good,VVS1,57.15,52.95,3.07,4.42,4.96,72.03,1.83,3.78,0.257,0.518,0.448,700,0.59,Green
Ruby,2.99,Premium,SI1,57.97,64,9.68,8.45,4.17,68.52,2.79,4.71,0.5,0.228,0.117,400,0.5,Red
Diamond,0.98,Ideal,SI2,64.76,57.42,5.19,7.51,3.58,72,4.5,-2.95,0.295,0.447,0.383,400,0.69,LightYellow
Amethyst,1.26,Very Good,VVS2,55.53,51.31,7.82,8.19,6.24,60.66,1.96,-4.24,0.104,0.176,0.592,600,,Green
Amethyst,1.33,Premium,VVS1,64.94,68.3,7.26,4.1,6.11,67.53,4.5,-0.1,0.303,,0.296,600,0.38,Violet
Emerald,2.27,Ideal,VVS2,64.06,57.73,8.07,6.13,2.74,73.36,2.15,1.58,0.242,0.412,0.492,600,0.65,White
Ruby,,Ideal,SI2,61.78,64.92,9.18,5.49,3.13,62.23,4.43,-0.07,0.482,0.131,0.456,550,0.49,FaintYellow
Diamond,2.7,Premium,VVS1,64.43,59.18,4.63,7.9,3.76,64.3,3.31,1.53,0.439,0.266,0.134,700,0.32,Violet
Sapphire,1.12,Premium,IF,56.52,67.82,5.98,7.15,4.06,74.62,4.01,4.51,0.449,0.257,0.106,700,0.6,Red
Emerald,1.48,Fair,SI2,64.43,50.58,5.3,9.77,4.44,73.22,2.36,-1.69,0.528,0.154,0.488,500,0.45,
Sapphire,2.04,Fair,SI2,57.13,,3.58,3.97,2.17,,1.56,3.88,0.578,0.282,0.193,450,0.64,Red
Topaz,3.19,Very Good,IF,60.46,60.92,3.22,6.32,2.31,79.85,1.59,0.45,0.591,0.433,0.265,400,0.34,Violet
Sapphire,2.31,Very Good,VS1,59.89,56.46,8.35,7.86,4.11,66.22,1.66,2.13,0.591,0.5,0.377,700,0.32,LightYellow
Emerald,2.08,Good,VS1,60.12,64.85,3.9,5.58,6.13,64.94,,3.32,0.537,,0.364,500,0.58,Blue
Topaz,2.91,Fair,VS1,57.67,63.77,3.11,9.46,5.34,66.82,4.53,-2.34,0.395,0.407,0.178,650,0.44,Blue
Diamond,1.36,Premium,VS2,62.81,50.51,6.07,8.97,4.44,75.02,2.96,-1.45,0.224,0.139,0.134,600,0.59,Blue
